iter	Passed	Remaining
0	51	51153
1	51	25846
2	52	17362
3	52	13108
4	53	10564
5	53	8872
6	54	7661
7	54	6752
8	54	6048
9	55	5481
10	55	5027
11	56	4650
12	57	4333
13	57	4060
14	58	3828
15	58	3626
16	59	3446
17	60	3277
18	60	3127
19	61	2989
20	61	2865
21	61	2751
22	62	2652
23	62	2559
24	63	2477
25	64	2398
26	64	2325
27	65	2257
28	65	2192
29	66	2134
30	67	2100
31	67	2052
32	68	2006
33	68	1960
34	69	1916
35	69	1874
36	70	1834
37	70	1796
38	71	1764
39	72	1731
40	72	1699
41	73	1668
42	73	1639
43	74	1613
44	74	1587
45	75	1560
46	75	1535
47	76	1512
48	76	1490
49	77	1467
50	77	1446
51	78	1426
52	78	1408
53	79	1392
54	80	1379
55	81	1369
56	81	1354
57	82	1347
58	83	1333
59	84	1319
60	84	1305
61	85	1290
62	85	1275
63	86	1261
64	86	1248
65	87	1234
66	87	1223
67	88	1212
68	88	1200
69	89	1187
70	89	1176
71	90	1165
72	90	1154
73	91	1145
74	92	1135
75	92	1125
76	93	1115
77	93	1105
78	93	1095
79	94	1085
80	94	1075
81	95	1067
82	95	1055
83	95	1046
84	96	1037
85	97	1033
86	97	1025
87	98	1018
88	98	1011
89	99	1003
90	99	996
91	100	988
92	100	981
93	101	975
94	101	969
95	102	963
96	102	957
97	103	951
98	103	945
99	104	938
100	104	932
101	105	927
102	105	921
103	106	915
104	106	909
105	107	903
106	107	897
107	108	892
108	108	887
109	109	882
110	109	877
111	110	872
112	110	867
113	111	863
114	111	858
115	112	853
116	112	847
117	112	842
118	113	838
119	113	833
120	114	828
121	114	823
122	114	819
123	115	816
124	116	814
125	116	810
126	117	806
127	118	804
128	118	802
129	119	799
130	119	795
131	120	792
132	120	788
133	121	784
134	121	780
135	122	776
136	122	773
137	123	769
138	123	766
139	124	762
140	124	759
141	124	755
142	125	751
143	125	748
144	126	745
145	126	742
146	127	739
147	127	736
148	128	733
149	128	730
150	129	727
151	129	724
152	130	723
153	131	720
154	131	717
155	132	715
156	132	712
157	133	710
158	133	707
159	134	705
160	134	701
161	135	698
162	135	696
163	136	695
164	136	692
165	137	690
166	137	687
167	138	685
168	138	682
169	139	680
170	139	677
171	140	675
172	140	673
173	141	670
174	141	668
175	142	666
176	142	663
177	143	661
178	143	658
179	144	656
180	144	654
181	145	652
182	145	650
183	146	648
184	146	647
185	147	644
186	147	642
187	148	640
188	148	638
189	149	636
190	149	634
191	150	632
192	150	630
193	151	628
194	151	626
195	152	624
196	152	621
197	153	619
198	153	617
199	153	615
200	154	614
201	154	611
202	155	609
203	155	607
204	156	605
205	156	604
206	157	601
207	157	599
208	158	598
209	158	596
210	158	594
211	159	592
212	159	591
213	160	589
214	161	588
215	161	586
216	162	584
217	162	583
218	163	581
219	163	580
220	164	579
221	164	577
222	165	575
